Название,"Цена, руб.",Год выпуска,"Пробег, км.",Тип кузова,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Тип двигателя,"Налог, руб.",Тип коробки передач,Привод,Положение руля,Состояние,Число владельцев,ПТС,"Время владения, г.",Таможня,URL адрес
Hyundai Elantra III (XD2) Рестайлинг,230000,2003,245325,седан,серебристый,1.6,107,Бензин,2675,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104071145-27f2e36c/
Hyundai Elantra VI (AD) Рестайлинг,1050000,2019,138000,седан,белый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1103809820-e5ef689d/
Hyundai Elantra VI (AD),720000,2018,195000,седан,белый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,1.5,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1102379704-646a5ce1/
Hyundai Elantra VI (AD) Рестайлинг,1278000,2019,29900,седан,белый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,2.1,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104104537-564f7667/
Hyundai Elantra VI (AD) Рестайлинг,1100000,2019,77500,седан,жёлтый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104115799-3190dea2/
Hyundai Elantra VI (AD),980000,2018,43000,седан,серый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,3.6,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1103505560-ab4ef3ca/
Hyundai Elantra VI (AD),930000,2018,82000,седан,чёрный,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,2,Дубликат,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1103705604-4f7cbfc5/
Hyundai Elantra VI (AD) Рестайлинг,1100000,2019,28901,седан,белый,1.6,128,Бензин,4480,механическая,передний,Левый,Не требует ремонта,1,Оригинал,1.9,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104242050-91893d6b/
Hyundai Elantra V (MD) Рестайлинг,666000,2014,108754,седан,чёрный,1.6,132,Бензин,4620,автоматическая,передний,Левый,Не требует ремонта,2,Дубликат,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1102928816-021304c5/
Hyundai Elantra VI (AD),870000,2018,205000,седан,белый,2.0,150,Бензин,5250,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104732644-e109dc81/
Hyundai Elantra V (MD) Рестайлинг,550000,2015,205000,седан,белый,1.6,132,Бензин,4620,механическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104156853-4e96d77b/
Hyundai Elantra VI (AD),1200000,2016,66000,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104803735-4d598c14/
Hyundai Elantra VI (AD),1300000,2017,58306,седан,синий,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1103290771-69142334/
Hyundai Elantra V (MD) Рестайлинг,860000,2014,53000,седан,белый,1.8,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,6.2,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104844423-4b1f21a9/
Hyundai Elantra V (MD) Рестайлинг,750000,2015,140000,седан,чёрный,1.6,132,Бензин,4620,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1103786607-f90ae6fd/
Hyundai Elantra VI (AD),880000,2018,280000,седан,белый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,3.5,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104804334-5ff7a654/
Hyundai Elantra V (MD),790000,2012,152253,седан,чёрный,1.8,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1103206076-bb509267/
Hyundai Elantra IV (HD),419000,2010,143653,седан,серебристый,1.6,122,Бензин,3050,механическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1103809065-57af25ae/
Hyundai Elantra V (MD) Рестайлинг,583000,2013,319244,седан,коричневый,1.6,132,Бензин,4620,механическая,передний,Левый,Не требует ремонта,2,Оригинал,7.3,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1103866513-1765d050/
Hyundai Elantra V (MD) Рестайлинг,720000,2014,200000,седан,белый,1.8,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1101726380-4ae9100a/
Hyundai Elantra V (MD) Рестайлинг,1020000,2014,128000,седан,коричневый,1.6,132,Бензин,4620,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,5.3,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1089536952-fdc10195/
Hyundai Elantra III (XD2) Рестайлинг,162000,2003,210000,седан,чёрный,1.6,107,Бензин,2675,автоматическая,передний,Левый,Не требует ремонта,2,Дубликат,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104680038-6c56b8d4/
Hyundai Elantra VI (AD),1000000,2017,158000,седан,белый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1103722745-a44173f4/
Hyundai Elantra V (MD) Рестайлинг,600000,2014,260000,седан,белый,1.6,132,Бензин,4620,механическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104056035-0e4191a1/
Hyundai Elantra VI (AD),960000,2018,136000,седан,белый,1.6,128,Бензин,4480,механическая,передний,Левый,Не требует ремонта,1,Оригинал,2.9,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104721463-93d8088b/
Hyundai Elantra V (MD) Рестайлинг,875000,2015,29800,седан,синий,1.6,132,Бензин,4620,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104813240-e5b5e774/
Hyundai Elantra V (MD),750000,2012,161000,седан,серебристый,1.8,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104698041-af3c9b07/
Hyundai Elantra V (MD) Рестайлинг,700000,2015,300000,седан,чёрный,1.6,132,Бензин,4620,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,2.2,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1103742741-deeaa9c2/
Hyundai Elantra V (MD) Рестайлинг,800000,2014,135000,седан,белый,1.8,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,1.1,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1103465915-171ab1bd/
Hyundai Elantra IV (HD),530000,2009,185000,седан,чёрный,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1103145872-ef1442b7/
Hyundai Elantra VI (AD),950000,2017,99000,седан,белый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,4.3,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1103877907-a82121c1/
Hyundai Elantra IV (HD),510000,2009,207000,седан,серебристый,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,6.8,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1102488245-c2626b5a/
Hyundai Elantra V (MD) Рестайлинг,700000,2014,92000,седан,белый,1.6,132,Бензин,4620,механическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104232771-8c5e1d91/
Hyundai Elantra IV (HD),500000,2010,244987,седан,чёрный,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,11.5,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104768825-7b4a4b69/
