Название,"Цена, руб.",Год выпуска,"Пробег, км.",Тип кузова,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Тип двигателя,"Налог, руб.",Тип коробки передач,Привод,Положение руля,Состояние,Число владельцев,ПТС,"Время владения, г.",Таможня,URL адрес
Kia Optima IV Рестайлинг,1510000,2019,73200,седан,белый,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104891032-089a2930/
Kia Optima IV Рестайлинг,1530000,2019,59000,седан,жёлтый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,1.8,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104869082-69b54c56/
Kia Optima IV Рестайлинг,1755000,2018,84328,седан,белый,2.0,245,Бензин,18375,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104165892-836a3978/
Kia Optima IV Рестайлинг,1100000,2019,120000,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104783374-71fe76a4/
Kia Optima IV,1550000,2018,84000,седан,коричневый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,3.1,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104576408-8a1a17ae/
Kia Optima III,850000,2011,127250,седан,чёрный,2.4,180,Бензин,9000,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104647231-404e6dc5/
Kia Optima IV,938000,2016,79901,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104727392-4bb42ebd/
Kia Optima IV,1798900,2018,37120,седан,чёрный,2.4,185,Бензин,9250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104720972-726ea064/
Kia Optima IV,1390000,2018,120000,седан,серый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,3.2,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104886875-0052475b/
Kia Optima IV Рестайлинг,1479000,2019,50134,седан,чёрный,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104714545-08401f20/
Kia Optima IV,1505000,2017,96000,седан,чёрный,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104272237-6ac8f9a1/
Kia Optima IV Рестайлинг,1670000,2018,30400,седан,серый,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104681222-af5219bb/
Kia Optima IV,1525000,2016,61163,седан,коричневый,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104677242-b1da026f/
Kia Optima IV,1260000,2016,91831,седан,чёрный,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Дубликат,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104672024-6cdd8d20/
Kia Optima IV Рестайлинг,1687000,2019,48441,седан,белый,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104670568-31d21d9e/
Kia Optima IV,1490000,2018,122300,седан,синий,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,3.2,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104805469-1f74c42d/
Kia Optima IV,1610000,2017,29950,седан,чёрный,2.4,188,Бензин,9212,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104657094-2702086d/
Kia Optima IV Рестайлинг,1900000,2019,32720,седан,белый,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104885344-698818e2/
Kia Optima IV Рестайлинг,1099000,2019,194235,седан,жёлтый,2.0,150,Бензин,5100,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104647173-91a62f0a/
Kia Optima IV,1059000,2017,160000,седан,серый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104635608-321f5994/
Kia Optima IV Рестайлинг,1725000,2019,31000,седан,чёрный,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104883113-e4a9ee18/
Kia Optima IV Рестайлинг,1520000,2019,93500,седан,белый,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,8.7,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104883045-f917a2a8/
Kia Optima III,699000,2011,107000,седан,серый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104882990-73d562fa/
