Название,"Цена, руб.",Год выпуска,"Пробег, км.",Тип кузова,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Тип двигателя,"Налог, руб.",Тип коробки передач,Привод,Положение руля,Состояние,Число владельцев,ПТС,"Время владения, г.",Таможня,URL адрес
Hyundai Sonata VIII (DN8),2050000,2019,5988,седан,чёрный,2.5,180,Бензин,9000,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,1.1,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104885090-5db40e0f/
Hyundai Sonata ТагАЗ IV (EF) Рестайлинг,270000,2006,274000,седан,серебристый,2.7,172,Бензин,7740,механическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,12.2,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104770777-4008056a/
Hyundai Sonata ТагАЗ IV (EF) Рестайлинг,269000,2005,189000,седан,золотистый,2.0,131,Бензин,4585,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104621532-3b44f1f9/
Hyundai Sonata IV (EF) Рестайлинг,265000,2004,250000,седан,чёрный,2.4,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Дубликат,7.6,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1103737638-154b23e7/
Hyundai Sonata ТагАЗ IV (EF) Рестайлинг,230000,2008,146000,седан,серый,2.0,137,Бензин,4795,механическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104878504-b2c8d135/
Hyundai Sonata VIII (DN8),1825000,2020,10950,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,1.2,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104862846-fad06676/
Hyundai Sonata ТагАЗ IV (EF) Рестайлинг,457000,2011,235399,седан,чёрный,2.0,137,Бензин,4795,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104575768-cd6eed47/
Hyundai Sonata VIII (DN8),2291000,2021,9402,седан,белый,2.5,180,Бензин,9000,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104255410-11625462/
Hyundai Sonata ТагАЗ IV (EF) Рестайлинг,239000,2005,247000,седан,серебристый,2.0,131,Бензин,4585,механическая,передний,Левый,Не требует ремонта,3 или больше,Дубликат,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104629078-d9163601/
Hyundai Sonata V (NF),475000,2006,300000,седан,чёрный,2.4,161,Бензин,7245,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104696533-681a0606/
Hyundai Sonata IV (EF) Рестайлинг,250000,2005,145472,седан,серый,2.0,131,Бензин,4585,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104204322-eda47c13/
Hyundai Sonata VIII (DN8),1820000,2020,59500,седан,жёлтый,2.5,180,Бензин,9000,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104869134-a1cbab59/
Hyundai Sonata VII (LF) Рестайлинг,1495000,2019,57255,седан,коричневый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104192739-903d378a/
Hyundai Sonata VIII (DN8),1949000,2021,10149,седан,серый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104122053-24c2c962/
Hyundai Sonata VIII (DN8),2100000,2020,1050,седан,белый,2.5,180,Бензин,9000,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,4.3,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104273489-4a5298a2/
Hyundai Sonata VIII (DN8),1900000,2019,26000,седан,белый,2.5,180,Бензин,9000,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1103078028-8695d8b2/
Hyundai Sonata VIII (DN8),1900000,2019,26000,седан,белый,2.5,180,Бензин,9000,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1103078028-8695d8b2/
Hyundai Sonata VIII (DN8),2300000,2019,8300,седан,синий,2.5,180,Бензин,9000,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,1.6,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104848472-94f5e17c/
Hyundai Sonata VIII (DN8),1800000,2020,28000,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,11.9,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1103880313-4e8b6b3e/
Hyundai Sonata VIII (DN8),1850000,2020,20000,седан,чёрный,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,6.5,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104806687-e4733c32/
Hyundai Sonata VIII (DN8),1850000,2020,13100,седан,синий,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1103864283-715b34bc/
Hyundai Sonata VIII (DN8),1900000,2020,30000,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,8.7,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1103777689-22f67f47/
