Название,"Цена, руб.",Год выпуска,"Пробег, км.",Кузов,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Двигатель,"Налог, руб.",Коробка передач,Руль,Состояние,Число владельцев,ПТС,Таможня,URL адрес
,,2004,224000,лифтбек,серебристый,2.0,141,Бензин,4117,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1101793755-8fc4cf7a/

Mazda 6 II (GH),510000,2008,151000,седан,фиолетовый,2.0,147,Бензин,5145,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103042005-02e40318/

Mazda 6 III (GJ) Рестайлинг,1350000,2016,140837,седан,чёрный,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103637502-331df47a/

Mazda 6 III (GJ),1185000,2013,79000,седан,чёрный,2.5,192,Бензин,9600,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103713690-53692a4f/

Mazda 6 III (GJ) Рестайлинг 2,2320000,2020,5000,седан,белый,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103723983-63d05b80/

Mazda 6 III (GJ) Рестайлинг,1319000,2016,118500,седан,чёрный,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103213364-fb92c95a/

Mazda 6 III (GJ),1289000,2013,132556,седан,белый,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103644166-ee623ffe/

Mazda 6 III (GJ),1290000,2013,74238,седан,серый,2.5,192,Бензин,9600,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103382290-6336c5a4/

Mazda 6 II (GH) Рестайлинг,765000,2010,118000,седан,белый,2.0,147,Бензин,5145,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103470123-aaf283e4/

Mazda 6 III (GJ) Рестайлинг,1780000,2016,84000,седан,чёрный,2.5,192,Бензин,9600,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103650337-3ab51fa3/

Mazda 6 III (GJ) Рестайлинг,1195000,2015,175000,седан,белый,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103445857-bae94cdf/

Mazda 6 III (GJ) Рестайлинг,1517000,2015,85269,седан,чёрный,2.5,192,Бензин,9600,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103630971-32f28b5c/

Mazda 6 III (GJ),1530000,2013,50000,седан,серый,2.5,192,Бензин,9600,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1102908072-7b927d95/

Mazda 6 III (GJ),1320000,2014,49000,седан,белый,2.5,192,Бензин,9600,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1102860947-da014746/

Mazda 6 II (GH),560000,2007,207000,седан,пурпурный,2.0,147,Бензин,5145,автоматическая,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103752593-17a981b6/

Mazda 6 III (GJ) Рестайлинг 2,1748000,2020,34500,седан,серый,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1102645956-b0096f36/

Mazda 6 III (GJ) Рестайлинг,1475000,2015,117489,седан,чёрный,2.5,192,Бензин,9600,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103451567-0f8d8837/

Mazda 6 II (GH),510000,2007,294000,седан,чёрный,2.0,147,Бензин,5145,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103606239-42bd479e/

Mazda 6 III (GJ) Рестайлинг,1318000,2015,88622,седан,красный,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103135861-d0461bc0/

