Название,"Цена, руб.",Год выпуска,"Пробег, км.",Кузов,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Двигатель,"Налог, руб.",Коробка передач,Руль,Состояние,Число владельцев,ПТС,Таможня,URL адрес
Skoda Rapid I,665000,2014,84200,лифтбек,белый,1.6,105,Бензин,2625,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103383047-044c9f78/
Skoda Rapid I Рестайлинг,999000,2019,67711,лифтбек,белый,1.6,110,Бензин,2750,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103434644-2f2a9159/
Skoda Rapid I Рестайлинг,700000,2017,133240,лифтбек,белый,1.6,110,Бензин,2750,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103498747-734a9d0c/
Skoda Rapid I,649000,2015,97800,лифтбек,синий,1.6,105,Бензин,3570,автоматическая,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103386345-485281c6/
Skoda Rapid I,799000,2014,65611,лифтбек,белый,1.6,105,Бензин,2625,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103676923-70159434/
Skoda Rapid I Рестайлинг,1100000,2019,6700,лифтбек,бежевый,1.6,110,Бензин,2750,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103665714-2936bda4/
Skoda Rapid I,490000,2017,241409,лифтбек,белый,1.6,90,Бензин,1080,механическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103223361-ffa4bcf1/
Skoda Rapid I Рестайлинг,1100000,2019,23000,лифтбек,белый,1.6,110,Бензин,2750,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103757844-ac2984f9/
Skoda Rapid I,675000,2016,131472,лифтбек,белый,1.6,90,Бензин,1080,механическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103667093-121411cf/
Skoda Rapid I,340000,2015,264000,лифтбек,белый,1.6,90,Бензин,1080,механическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103756169-44c26a47/
Skoda Rapid I,710000,2014,47500,лифтбек,бежевый,1.6,105,Бензин,2625,механическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103728077-64070520/
Skoda Rapid I Рестайлинг,959000,2018,25000,лифтбек,коричневый,1.6,110,Бензин,2750,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103752982-57e0b98f/
Skoda Rapid I,775000,2015,133447,лифтбек,синий,1.4,122,Бензин,3050,роботизированная,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103645592-69716035/
Skoda Rapid I Рестайлинг,730000,2017,88000,лифтбек,красный,1.6,110,Бензин,2750,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103592197-bbeb1d06/
Skoda Rapid I,799000,2016,92000,лифтбек,белый,1.4,125,Бензин,3125,роботизированная,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103630956-e4074761/
Skoda Rapid I,475000,2017,200000,лифтбек,жёлтый,1.6,110,Бензин,2750,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103752361-fec92526/
Skoda Rapid I,699000,2016,35931,лифтбек,серый,1.6,110,Бензин,2750,механическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103320213-be154e92/
Skoda Rapid I Рестайлинг,549000,2017,278981,лифтбек,жёлтый,1.6,110,Бензин,3740,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103592482-50a1e102/
Skoda Rapid I,690000,2016,56800,лифтбек,белый,1.6,90,Бензин,1080,механическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103749920-bba0a407/
Skoda Rapid I Рестайлинг,750000,2017,57716,лифтбек,зелёный,1.6,90,Бензин,1080,механическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103548376-905839b2/
Skoda Rapid I Рестайлинг,949000,2018,24418,лифтбек,бежевый,1.6,110,Бензин,2750,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103555271-4388c5cb/
Skoda Rapid II,1999000,2021,750,лифтбек,серебристый,1.4,125,Бензин,3125,роботизированная,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103688581-c7fc4cc5/
Skoda Rapid I Рестайлинг,765000,2018,83526,лифтбек,белый,1.6,90,Бензин,1080,механическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103555309-7e145a7d/
Skoda Rapid I,580000,2016,281000,лифтбек,белый,1.6,90,Бензин,1080,механическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103749694-4f753672/
Skoda Rapid I Рестайлинг,1060000,2018,35000,лифтбек,зелёный,1.4,125,Бензин,3125,роботизированная,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103748046-b5801275/
Skoda Rapid II,990000,2021,27,лифтбек,белый,1.6,110,Бензин,2750,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103666694-61131cc4/
Skoda Rapid I,760000,2016,87000,лифтбек,жёлтый,1.6,110,Бензин,2750,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103420021-b9dbd64e/
Skoda Rapid I,485000,2014,129000,лифтбек,синий,1.2,75,Бензин,900,механическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103745079-188bbb26/
